date,open,high,close,low,volume,amount
2003/12/4,0.59,0.6,0.59,0.58,404520,4390456
2003/12/5,0.59,0.59,0.59,0.58,271740,2934909
2003/12/8,0.59,0.59,0.59,0.59,306620,3332111
2003/12/9,0.59,0.61,0.61,0.59,490176,5429061
2003/12/10,0.6,0.61,0.61,0.6,487469,5452970
2003/12/11,0.61,0.62,0.6,0.6,367900,4135811
2003/12/12,0.6,0.61,0.61,0.6,227400,2518638
2003/12/15,0.6,0.61,0.61,0.6,433400,4854646
2003/12/16,0.61,0.61,0.59,0.59,248574,2731184
2003/12/17,0.59,0.6,0.59,0.59,174400,1895539
2003/12/18,0.59,0.59,0.58,0.57,199047,2138546
2003/12/19,0.58,0.58,0.56,0.55,404525,4213238
2003/12/22,0.56,0.57,0.56,0.54,244023,2483492
2003/12/23,0.57,0.57,0.56,0.56,248054,2559192
2003/12/24,0.56,0.56,0.56,0.56,170271,1749703
2003/12/25,0.56,0.58,0.57,0.56,380310,3988404
2003/12/26,0.57,0.6,0.59,0.57,643659,6953030
2003/12/29,0.59,0.59,0.59,0.58,284400,3079999
2003/12/30,0.59,0.61,0.61,0.59,592444,6536823
2003/12/31,0.6,0.62,0.61,0.6,590619,6638142
2004/1/2,0.61,0.63,0.61,0.61,607600,6917156
2004/1/5,0.62,0.62,0.62,0.61,608904,6847474
2004/1/6,0.62,0.63,0.63,0.62,709547,8171785
2004/1/7,0.63,0.66,0.65,0.63,936570,11162769
2004/1/8,0.65,0.71,0.69,0.64,1449267,18043409
2004/1/9,0.69,0.69,0.66,0.65,1026480,12679499
2004/1/12,0.66,0.68,0.68,0.66,460582,5633086
2004/1/13,0.67,0.68,0.66,0.66,516086,6350491
2004/1/14,0.66,0.66,0.65,0.65,417406,4998426
2004/1/15,0.65,0.66,0.65,0.64,365554,4369947
2004/1/16,0.65,0.67,0.66,0.65,259474,3145852
2004/1/29,0.66,0.67,0.67,0.66,285569,3503671
2004/1/30,0.67,0.67,0.64,0.64,330300,3993148
2004/2/2,0.66,0.67,0.65,0.65,640281,7712477
2004/2/3,0.65,0.67,0.67,0.65,907427,10939631
2004/2/4,0.67,0.7,0.69,0.67,1211141,15327171
2004/2/5,0.69,0.73,0.72,0.69,1528551,19896753
2004/2/6,0.71,0.72,0.7,0.7,543495,7046717
2004/2/10,0.71,0.75,0.72,0.71,1029780,13778461
2004/2/11,0.72,0.74,0.73,0.71,909653,12142524
2004/2/12,0.73,0.74,0.72,0.72,594676,7974030
2004/2/13,0.72,0.72,0.71,0.71,603621,7930980
2004/2/16,0.71,0.76,0.75,0.71,1093622,14969842
2004/2/17,0.75,0.76,0.75,0.75,578429,8037106
2004/2/18,0.76,0.76,0.76,0.74,756034,10486486
2004/2/19,0.76,0.81,0.79,0.76,1102123,15886043
2004/2/20,0.79,0.81,0.8,0.78,469952,6825568
2004/2/23,0.8,0.8,0.79,0.79,458482,6710800
2004/2/24,0.78,0.79,0.79,0.76,665708,9515604
2004/2/25,0.79,0.82,0.77,0.77,566400,8288953
2004/2/26,0.77,0.78,0.78,0.77,444481,6354942
2004/2/27,0.78,0.79,0.79,0.77,493174,7104160
2004/3/1,0.79,0.81,0.8,0.79,424187,6233906
2004/3/2,0.8,0.8,0.8,0.79,407342,5976111
2004/3/3,0.8,0.81,0.79,0.78,514693,7524459
2004/3/4,0.78,0.79,0.77,0.76,522065,7393992
2004/3/5,0.77,0.77,0.77,0.76,337202,4742462
2004/3/8,0.77,0.77,0.76,0.76,251503,3529415
2004/3/9,0.76,0.77,0.77,0.76,256275,3592235
2004/3/10,0.76,0.78,0.78,0.76,461180,6553825
2004/3/11,0.78,0.79,0.78,0.78,496600,7171830
2004/3/12,0.78,0.79,0.79,0.78,449552,6493387
2004/3/15,0.79,0.8,0.8,0.79,491532,7195263
2004/3/16,0.8,0.8,0.8,0.79,409077,6006930
2004/3/17,0.81,0.81,0.79,0.77,437292,6347815
2004/3/18,0.79,0.8,0.78,0.77,485065,7046771
2004/3/19,0.78,0.79,0.78,0.78,330323,4741850
2004/3/22,0.78,0.83,0.83,0.78,986625,14677037
2004/3/23,0.83,0.84,0.83,0.82,602730,9148504
2004/3/24,0.83,0.87,0.85,0.82,1181842,18552066
2004/3/25,0.85,0.87,0.86,0.85,510191,8055364
2004/3/26,0.86,0.87,0.86,0.84,843084,13250225
2004/3/29,0.86,0.9,0.86,0.86,1092689,17580247
2004/3/30,0.86,0.86,0.85,0.84,452009,7039622
2004/3/31,0.82,0.85,0.84,0.82,699042,10606265
2004/4/1,0.82,0.84,0.84,0.82,1041823,15837522
2004/4/2,0.84,0.89,0.87,0.84,797394,12645511
2004/4/5,0.87,0.91,0.9,0.87,794189,13036824
2004/4/6,0.9,0.9,0.9,0.88,397494,6515471
2004/4/7,0.9,0.91,0.9,0.89,470545,7784669
2004/4/8,0.91,0.93,0.93,0.9,927690,15682454
2004/4/9,0.92,0.95,0.92,0.91,1081084,18538980
2004/4/12,0.91,0.95,0.94,0.91,476345,8173745
2004/4/13,0.94,0.94,0.9,0.9,699475,11820016
2004/4/14,0.91,0.95,0.92,0.9,834324,14183560
2004/4/15,0.91,0.92,0.89,0.89,634489,10454580
2004/4/16,0.89,0.91,0.9,0.89,734444,12111489
2004/4/19,0.9,0.94,0.92,0.9,532845,9064563
2004/4/20,0.95,0.95,0.91,0.91,749857,12642097
2004/4/21,0.91,0.92,0.92,0.91,494114,8305397
2004/4/22,0.94,0.98,0.95,0.92,2405017,42105188
2004/4/23,0.95,0.95,0.94,0.94,558683,9682841
2004/4/26,0.94,0.95,0.95,0.94,434297,7548417
2004/4/27,0.95,0.95,0.91,0.91,426491,7306005
2004/4/28,0.92,0.92,0.91,0.9,466029,7824089
2004/4/29,0.92,0.92,0.89,0.89,341367,5677586
2004/4/30,0.89,0.91,0.91,0.89,339884,5623846
2004/5/10,0.91,0.91,0.9,0.9,183600,3035686
2004/5/11,0.9,0.93,0.92,0.9,283570,4789552
2004/5/12,0.92,0.93,0.93,0.92,428777,7312960
2004/5/13,0.93,0.93,0.92,0.91,216693,3662523
2004/5/14,0.92,0.92,0.92,0.91,183612,3094191
2004/5/17,0.92,0.94,0.92,0.91,242080,4098295
2004/5/18,0.91,0.92,0.92,0.91,174641,2950686
2004/5/19,0.92,0.93,0.92,0.92,232048,3929141
2004/5/21,0.92,0.92,0.83,0.83,667700,10674695
2004/5/24,0.82,0.83,0.82,0.82,317731,4798884
2004/5/25,0.82,0.83,0.82,0.81,257890,3871950
2004/5/26,0.82,0.83,0.83,0.82,115909,1743793
2004/5/27,0.82,0.85,0.84,0.82,118254,1829288
2004/5/28,0.84,0.86,0.86,0.84,163711,2560518
2004/5/31,0.85,0.86,0.86,0.85,297800,4681841
2004/6/1,0.86,0.9,0.89,0.86,553967,8976516
2004/6/2,0.88,0.88,0.87,0.86,247604,3963979
2004/6/3,0.87,0.87,0.87,0.87,123571,1971695
2004/6/4,0.87,0.88,0.88,0.87,165300,1327562
2004/6/7,0.88,0.88,0.86,0.85,159000,1257178
2004/6/8,0.86,0.86,0.86,0.85,143160,1123633
2004/6/9,0.86,0.86,0.83,0.82,286230,2196962
2004/6/10,0.84,0.85,0.83,0.82,194909,1480646
2004/6/11,0.83,0.84,0.82,0.82,331700,2517528
2004/6/14,0.82,0.82,0.8,0.8,115300,855478
2004/6/15,0.81,0.81,0.8,0.8,92900,683289
2004/6/16,0.81,0.81,0.8,0.79,148100,1083440
2004/6/17,0.8,0.8,0.79,0.79,98480,713738
2004/6/18,0.79,0.8,0.79,0.78,134966,973861
2004/6/21,0.79,0.81,0.8,0.79,72100,526977
2004/6/22,0.82,0.86,0.85,0.82,421177,3207533
2004/6/23,0.85,0.85,0.84,0.82,223177,1719471
2004/6/24,0.83,0.84,0.84,0.82,165200,1260380
2004/6/25,0.84,0.88,0.84,0.83,718418,5647583
2004/6/28,0.84,0.84,0.82,0.82,173000,1307567
2004/6/29,0.82,0.83,0.82,0.81,233169,1756884
2004/6/30,0.82,0.84,0.82,0.82,158100,1205572
2004/7/1,0.82,0.84,0.84,0.82,277517,2120203
2004/7/2,0.84,0.84,0.82,0.81,118500,888193
2004/7/5,0.82,0.82,0.82,0.81,78750,590021
2004/7/6,0.82,0.84,0.83,0.82,112398,858961
2004/7/7,0.83,0.83,0.83,0.82,87270,659463
2004/7/8,0.83,0.83,0.83,0.82,49092,372432
2004/7/9,0.83,0.84,0.84,0.83,108651,832557
2004/7/12,0.84,0.84,0.82,0.82,99600,752383
2004/7/13,0.82,0.82,0.82,0.82,91018,683502
2004/7/14,0.82,0.83,0.82,0.81,83300,626001
2004/7/15,0.82,0.82,0.82,0.81,78100,584037
2004/7/16,0.81,0.84,0.84,0.8,285686,2146029
2004/7/19,0.84,0.86,0.85,0.84,349387,2715536
2004/7/20,0.85,0.85,0.84,0.83,215700,1666703
2004/7/21,0.84,0.85,0.84,0.83,209200,1614678
2004/7/22,0.84,0.84,0.81,0.81,148279,1127226
2004/7/23,0.82,0.82,0.82,0.81,81700,609771
2004/7/26,0.82,0.82,0.81,0.8,102000,760021
2004/7/27,0.81,0.82,0.8,0.8,96800,716061
2004/7/28,0.8,0.83,0.82,0.8,169082,1274504
2004/7/29,0.82,0.83,0.83,0.82,102900,779413
2004/7/30,0.83,0.83,0.83,0.82,86700,656685
2004/8/2,0.83,0.83,0.83,0.82,68120,516512
2004/8/3,0.82,0.83,0.82,0.81,113000,850247
2004/8/4,0.82,0.84,0.83,0.81,184200,1393534
2004/8/5,0.83,0.84,0.82,0.82,249700,1896053
2004/8/6,0.82,0.82,0.79,0.79,172300,1282034
2004/8/9,0.8,0.8,0.79,0.78,80000,580678
2004/8/10,0.79,0.8,0.8,0.79,72550,528307
2004/8/11,0.79,0.8,0.79,0.79,78200,570336
2004/8/12,0.79,0.79,0.76,0.75,152378,1075048
2004/8/13,0.76,0.77,0.76,0.76,65300,457095
2004/8/16,0.76,0.77,0.76,0.76,66900,467159
2004/8/17,0.76,0.76,0.75,0.75,109900,761034
2004/8/18,0.75,0.76,0.76,0.75,68279,474105
2004/8/19,0.76,0.76,0.75,0.74,99900,687903
2004/8/20,0.75,0.75,0.75,0.75,47471,326378
2004/8/23,0.75,0.76,0.75,0.75,76279,525475
2004/8/24,0.75,0.75,0.75,0.75,107400,738917
2004/8/25,0.75,0.77,0.77,0.75,134884,938810
2004/8/26,0.76,0.77,0.76,0.76,107800,754401
2004/8/27,0.76,0.77,0.75,0.75,62954,436879
2004/8/30,0.75,0.76,0.76,0.75,83850,583286
2004/8/31,0.76,0.78,0.77,0.76,201072,1421563
2004/9/1,0.77,0.77,0.77,0.76,66304,464541
2004/9/2,0.77,0.78,0.78,0.76,165600,1168386
2004/9/3,0.77,0.78,0.78,0.77,73200,519487
2004/9/6,0.78,0.78,0.78,0.78,86494,617506
2004/9/7,0.78,0.79,0.77,0.77,103549,738789
2004/9/8,0.78,0.78,0.77,0.77,97100,688594
2004/9/9,0.77,0.77,0.77,0.76,108100,761228
2004/9/10,0.77,0.77,0.77,0.76,140300,985320
2004/9/13,0.77,0.77,0.76,0.76,180300,1264676
2004/9/14,0.76,0.78,0.76,0.76,222800,1567398
2004/9/15,0.77,0.84,0.83,0.77,774494,5778247
2004/9/16,0.82,0.84,0.83,0.81,624479,4724988
2004/9/17,0.84,0.87,0.86,0.82,778697,6027514
2004/9/20,0.8,0.91,0.9,0.8,1125600,9161420
2004/9/22,0.89,0.92,0.89,0.88,795455,6575870
2004/9/23,0.89,0.95,0.93,0.89,1058691,8933270
2004/9/24,0.92,0.99,0.93,0.92,1841560,16091607
2004/9/27,0.93,0.96,0.92,0.92,629148,5392543
2004/9/28,0.93,0.93,0.91,0.88,647850,5348717
2004/9/29,0.9,0.91,0.88,0.87,741600,6093566
2004/9/30,0.88,0.88,0.83,0.83,601452,4647624
2004/10/8,0.84,0.84,0.84,0.83,327196,2517550
2004/10/11,0.84,0.85,0.83,0.82,565708,4323669
2004/10/12,0.83,0.84,0.82,0.81,194572,1476389
2004/10/13,0.82,0.83,0.82,0.82,270400,2038123
2004/10/14,0.82,0.82,0.77,0.76,354933,2539261
2004/10/15,0.77,0.79,0.76,0.74,645665,4481545
2004/10/18,0.75,0.79,0.77,0.75,393620,2759624
2004/10/19,0.77,0.78,0.78,0.77,259376,1852190
2004/10/20,0.78,0.78,0.77,0.76,130210,919328
2004/10/21,0.77,0.77,0.75,0.75,202480,1405025
2004/10/22,0.75,0.77,0.77,0.74,295302,2052725
2004/10/25,0.76,0.78,0.76,0.75,260300,1832427
2004/10/26,0.76,0.76,0.75,0.75,157900,1096605
2004/10/27,0.76,0.76,0.74,0.71,359981,2420828
2004/10/28,0.73,0.75,0.72,0.72,285059,1921455
2004/10/29,0.73,0.79,0.79,0.72,1182801,8419899
2004/11/1,0.79,0.8,0.76,0.76,443500,3172633
2004/11/2,0.76,0.78,0.77,0.76,178546,1255613
2004/11/3,0.77,0.81,0.8,0.77,402802,2917336
2004/11/4,0.8,0.8,0.78,0.76,252700,1796261
2004/11/5,0.77,0.78,0.77,0.76,163300,1156959
2004/11/8,0.77,0.78,0.78,0.77,148125,1057371
2004/11/9,0.78,0.8,0.79,0.78,289000,2091658
2004/11/10,0.79,0.82,0.8,0.78,503139,3695055
2004/11/11,0.8,0.85,0.81,0.8,698500,5273221
2004/11/12,0.81,0.88,0.84,0.81,915887,7111214
2004/11/15,0.82,0.86,0.84,0.82,413299,3188495
2004/11/16,0.82,0.84,0.82,0.81,475440,3575015
2004/11/17,0.82,0.82,0.8,0.78,206360,1510660
2004/11/18,0.8,0.84,0.83,0.8,479500,3610078
2004/11/19,0.82,0.83,0.83,0.81,203300,1535316
2004/11/22,0.81,0.82,0.81,0.8,335000,2491506
2004/11/23,0.81,0.81,0.79,0.79,324590,2367763
2004/11/24,0.79,0.86,0.85,0.79,1208620,9186743
2004/11/25,0.84,0.85,0.84,0.81,441488,3365535
2004/11/26,0.84,0.84,0.82,0.81,279000,2102119
2004/11/29,0.82,0.82,0.78,0.77,301902,2201703
2004/12/1,0.77,0.79,0.78,0.76,975679,6845402
2004/12/2,0.78,0.78,0.77,0.76,358461,2532940
2004/12/3,0.77,0.78,0.77,0.77,298600,2114440
2004/12/6,0.77,0.8,0.78,0.77,311700,2238449
2004/12/7,0.78,0.79,0.77,0.77,181557,1292512
2004/12/8,0.78,0.78,0.78,0.77,111730,791447
2004/12/9,0.78,0.79,0.78,0.78,225974,1621555
2004/12/10,0.78,0.79,0.77,0.77,142099,1018098
2004/12/13,0.77,0.78,0.77,0.75,171410,1202459
2004/12/14,0.77,0.77,0.77,0.76,75399,530787
2004/12/15,0.77,0.77,0.77,0.76,138400,967108
2004/12/16,0.77,0.79,0.77,0.77,305000,2187416
2004/12/17,0.78,0.78,0.78,0.77,84590,602687
2004/12/20,0.78,0.78,0.77,0.76,126200,886183
2004/12/21,0.77,0.77,0.77,0.76,158135,1106682
2004/12/22,0.77,0.78,0.77,0.74,375899,2627074
2004/12/23,0.77,0.78,0.77,0.76,1248162,8820741
2004/12/24,0.77,0.78,0.77,0.76,775003,5462982
2004/12/27,0.77,0.78,0.77,0.77,83300,589333
2004/12/28,0.77,0.78,0.76,0.76,115390,811429
2004/12/29,0.77,0.77,0.76,0.76,45899,323405
2004/12/30,0.77,0.77,0.77,0.76,72400,507417
2004/12/31,0.77,0.78,0.77,0.77,99361,701113
2005/1/4,0.77,0.77,0.76,0.76,43600,305203
2005/1/5,0.77,0.77,0.77,0.75,126799,888948
2005/1/6,0.77,0.77,0.76,0.75,89000,621707
2005/1/7,0.76,0.77,0.76,0.76,105100,736024
2005/1/10,0.76,0.77,0.76,0.76,39300,274625
2005/1/11,0.76,0.77,0.77,0.76,78200,549531
2005/1/12,0.77,0.77,0.76,0.76,62400,436341
2005/1/13,0.77,0.77,0.76,0.75,62725,436495
2005/1/14,0.76,0.76,0.75,0.75,83800,581949
2005/1/17,0.75,0.76,0.73,0.73,162200,1101667
2005/1/18,0.73,0.73,0.72,0.71,142550,940369
2005/1/19,0.72,0.72,0.72,0.72,141490,932987
2005/1/20,0.72,0.73,0.72,0.72,96000,633749
2005/1/21,0.72,0.72,0.72,0.72,105420,695729
2005/1/24,0.73,0.75,0.74,0.73,162166,1092021
2005/1/25,0.74,0.75,0.74,0.74,86900,594645
2005/1/26,0.74,0.75,0.74,0.74,81700,556281
2005/1/27,0.74,0.76,0.73,0.73,134700,924260
2005/1/28,0.73,0.74,0.74,0.73,77552,524071
2005/1/31,0.75,0.75,0.73,0.73,26900,182526
2005/2/1,0.74,0.75,0.74,0.73,75600,513524
2005/2/2,0.74,0.77,0.76,0.73,318600,2200312
2005/2/3,0.77,0.8,0.77,0.76,396500,2845155
2005/2/4,0.77,0.8,0.78,0.77,258827,1856929
2005/2/16,0.79,0.79,0.79,0.79,150000,1087177
2005/2/17,0.79,0.8,0.79,0.79,150800,1096198
2005/2/18,0.79,0.8,0.79,0.78,335700,2434155
2005/2/21,0.79,0.82,0.81,0.79,434828,3206289
2005/2/22,0.81,0.84,0.83,0.8,428792,3231057
2005/2/23,0.82,0.83,0.83,0.81,131327,984167
2005/2/24,0.82,0.87,0.85,0.81,766168,5955853
2005/2/25,0.85,0.86,0.83,0.83,366500,2836306
2005/2/28,0.83,0.84,0.82,0.81,162600,1229318
2005/3/1,0.82,0.84,0.84,0.82,328100,2499976
2005/3/2,0.83,0.84,0.81,0.8,514500,3868787
2005/3/3,0.81,0.82,0.81,0.79,222900,1643772
2005/3/4,0.82,0.82,0.8,0.79,247900,1831477
2005/3/7,0.8,0.82,0.81,0.8,251800,1868535
2005/3/8,0.81,0.85,0.84,0.8,525100,3997061
2005/3/9,0.83,0.83,0.82,0.81,385100,2885627
2005/3/10,0.81,0.82,0.79,0.79,402600,2974599
2005/3/11,0.79,0.8,0.8,0.78,212300,1544975
2005/3/14,0.8,0.82,0.81,0.78,230201,1696062
2005/3/15,0.8,0.81,0.79,0.78,378400,2751103
2005/3/16,0.79,0.81,0.79,0.78,378800,2761714
2005/3/17,0.79,0.8,0.78,0.78,239400,1731551
2005/3/18,0.78,0.79,0.78,0.76,558428,3947617
2005/3/21,0.78,0.78,0.76,0.75,188600,1314812
2005/3/22,0.76,0.76,0.74,0.73,146099,999415
2005/3/23,0.74,0.76,0.75,0.74,155800,1075508
2005/3/24,0.75,0.76,0.75,0.74,276600,1891871
2005/3/25,0.75,0.76,0.75,0.75,159702,1104243
2005/3/28,0.75,0.76,0.75,0.75,162548,1122520
2005/3/29,0.75,0.76,0.75,0.75,170420,1177199
2005/3/30,0.75,0.75,0.73,0.73,208900,1411775
2005/3/31,0.73,0.74,0.74,0.73,95500,644847
2005/4/1,0.74,0.8,0.77,0.74,411010,2865284
2005/4/4,0.77,0.77,0.76,0.75,149600,1042686
2005/4/5,0.76,0.76,0.75,0.75,165200,1147579
2005/4/6,0.75,0.77,0.77,0.74,305099,2117653
2005/4/7,0.76,0.78,0.78,0.76,303297,2154349
2005/4/8,0.77,0.79,0.79,0.76,180188,1279659
2005/4/11,0.78,0.8,0.8,0.78,174000,1262886
2005/4/12,0.79,0.8,0.78,0.78,113500,818870
2005/4/13,0.78,0.82,0.79,0.78,352100,2575951
2005/4/14,0.79,0.8,0.78,0.78,234100,1693239
2005/4/15,0.77,0.77,0.74,0.74,178700,1228605
2005/4/18,0.74,0.75,0.73,0.73,255852,1729314
2005/4/19,0.73,0.74,0.74,0.73,171200,1148874
2005/4/20,0.73,0.74,0.73,0.72,166624,1116491
2005/4/21,0.73,0.73,0.71,0.69,140640,923438
2005/4/22,0.72,0.72,0.72,0.7,138400,905124
2005/4/25,0.72,0.72,0.72,0.71,68900,454611
2005/4/26,0.77,0.77,0.75,0.74,275001,1895477
2005/4/27,0.75,0.76,0.74,0.74,143001,986487
2005/4/28,0.74,0.75,0.75,0.73,180800,1232934
2005/4/29,0.75,0.75,0.74,0.74,77780,531076
2005/5/9,0.75,0.75,0.74,0.73,56900,386682
2005/5/10,0.74,0.75,0.74,0.73,109600,744676
2005/5/11,0.74,0.76,0.76,0.74,116700,805212
2005/5/12,0.75,0.75,0.73,0.73,133700,906568
2005/5/13,0.73,0.74,0.73,0.73,73902,496308
2005/5/16,0.73,0.79,0.75,0.73,103000,709880
2005/5/17,0.75,0.78,0.76,0.75,160000,1132236
2005/5/18,0.76,0.82,0.8,0.76,591211,4348580
2005/5/19,0.8,0.82,0.81,0.79,682360,5037646
2005/5/20,0.84,0.84,0.81,0.8,465550,3479537
2005/5/23,0.81,0.82,0.8,0.79,496750,3655715
2005/5/24,0.79,0.81,0.8,0.79,304848,2234934
2005/5/25,0.8,0.82,0.77,0.76,452018,3275571
2005/5/26,0.77,0.77,0.73,0.73,410500,2812611
2005/5/30,0.73,0.73,0.71,0.67,327719,2070929
2005/5/31,0.69,0.77,0.7,0.69,145199,959763
2005/6/1,0.7,0.71,0.7,0.69,90273,577129
2005/6/2,0.7,0.7,0.69,0.69,52600,334224
2005/6/3,0.7,0.72,0.71,0.7,151691,983761
2005/6/6,0.71,0.73,0.72,0.71,171846,1125422
2005/6/7,0.72,0.73,0.71,0.71,203500,1340309
2005/6/8,0.71,0.78,0.76,0.71,484641,3333230
2005/6/9,0.76,0.77,0.74,0.74,420724,2907913
2005/6/10,0.74,0.79,0.78,0.74,756599,5369668
2005/6/13,0.77,0.77,0.75,0.74,149100,1033847
2005/6/14,0.76,0.8,0.76,0.76,425100,3016176
2005/6/15,0.76,0.8,0.75,0.75,604600,4305229
2005/6/16,0.76,0.76,0.75,0.7,258690,1727996
2005/6/17,0.76,0.76,0.75,0.73,115612,786464
2005/6/20,0.75,0.76,0.74,0.73,375099,2555313
2005/6/21,0.74,0.75,0.73,0.73,266101,1806676
2005/6/22,0.74,0.75,0.73,0.71,172837,643459
2005/6/23,0.73,0.73,0.71,0.68,531303,1905061
2005/6/24,0.71,0.73,0.72,0.7,309729,1129624
2005/6/27,0.72,0.75,0.73,0.71,754379,2814811
2005/6/28,0.73,0.73,0.71,0.71,171934,626898
2005/6/29,0.71,0.74,0.73,0.71,372171,1382404
2005/6/30,0.73,0.75,0.72,0.72,412996,1549265
2005/7/1,0.73,0.74,0.72,0.71,197601,726406
2005/7/4,0.72,0.72,0.72,0.69,231904,825523
2005/7/5,0.72,0.73,0.72,0.71,110848,404268
2005/7/6,0.71,0.72,0.7,0.7,106701,386295
2005/7/7,0.7,0.71,0.7,0.69,105161,373468
2005/7/8,0.7,0.7,0.68,0.67,303340,1049907
2005/7/11,0.68,0.69,0.67,0.67,113100,390953
2005/7/12,0.68,0.69,0.69,0.67,263628,915026
2005/7/13,0.69,0.71,0.69,0.68,244823,862492
2005/7/14,0.69,0.73,0.7,0.69,306162,1113432
2005/7/15,0.7,0.72,0.69,0.69,192928,695142
2005/7/18,0.68,0.69,0.66,0.66,82060,283100
2005/7/19,0.67,0.68,0.66,0.66,76220,258540
2005/7/20,0.67,0.68,0.66,0.65,120629,407352
2005/7/21,0.67,0.67,0.66,0.65,82860,277654
2005/7/22,0.66,0.67,0.66,0.66,157450,534246
2005/7/25,0.67,0.68,0.67,0.66,94100,320739
2005/7/26,0.67,0.68,0.68,0.67,202380,695990
2005/7/27,0.68,0.69,0.68,0.67,285610,993532
2005/7/28,0.69,0.73,0.7,0.68,478990,1735331
2005/7/29,0.69,0.73,0.71,0.69,591662,2147001
2005/8/1,0.71,0.73,0.71,0.7,474170,1729784
2005/8/2,0.71,0.71,0.71,0.7,253586,913065
2005/8/3,0.71,0.73,0.72,0.71,525100,1920529
2005/8/4,0.71,0.73,0.72,0.7,875826,3167857
2005/8/5,0.71,0.73,0.72,0.7,926040,3368411
2005/8/8,0.72,0.74,0.73,0.71,1309386,4847759
2005/8/9,0.72,0.76,0.76,0.72,2723886,10325291
2005/8/10,0.74,0.78,0.77,0.74,4207683,16387086
2005/8/11,0.76,0.77,0.75,0.74,2592515,9931447
2005/8/12,0.75,0.79,0.72,0.72,2169960,8353360
2005/8/15,0.72,0.73,0.73,0.69,1418998,5122167
2005/8/16,0.73,0.73,0.71,0.69,1570440,5694092
2005/8/17,0.71,0.73,0.72,0.71,1451360,5319057
2005/8/18,0.72,0.73,0.69,0.69,1341701,4856357
2005/8/19,0.68,0.71,0.67,0.67,695199,2410559
2005/8/22,0.67,0.68,0.68,0.67,542416,1871276
2005/8/23,0.68,0.68,0.68,0.67,291962,1005866
2005/8/24,0.68,0.7,0.68,0.68,323960,1133200
2005/8/25,0.69,0.7,0.7,0.68,513341,1808727
2005/8/26,0.7,0.7,0.7,0.7,500420,1779375
2005/8/29,0.7,0.71,0.7,0.69,429760,1535297
2005/8/30,0.7,0.7,0.68,0.67,391380,1355854
2005/8/31,0.68,0.69,0.68,0.68,594333,2063033
2005/9/1,0.68,0.73,0.72,0.68,1275217,4620265
2005/9/2,0.71,0.73,0.72,0.71,823720,3035639
2005/9/5,0.72,0.73,0.72,0.71,607500,2214100
2005/9/6,0.72,0.72,0.69,0.68,738599,2658444
2005/9/7,0.69,0.71,0.71,0.69,796438,2838964
2005/9/8,0.7,0.72,0.71,0.7,528120,1908938
